
name,spt,bias,sptval, ne/fe
pi Ori, F6, -0.550, 0.6, 2.00
beta Com, G0, -0.668, 1.0, 0.73
pi UMa, G1, -0.645, 1.1, 1.60
chi Ori, G1, -0.555, 1.1, 1.91
Sun, G2, -0.600, 1.2, 1.02
alpha Ceti, G2, -0.410, 1.2, 1.41
kappa Ceti, G5, -0.462, 1.5, 2.51
Xi Boo A, G8, -0.344, 1.8, 3.80
70 Oph A, K0, -0.403, 2.0, 2.40
36 Oph A, K1, -0.250, 2.1, 4.90
36 Oph B, K1, -0.328, 2.1, 3.80
alpha Cen B, K1, -0.478, 2.1, 1.44
epsilon Eri, K2, -0.050, 2.2, 4.68
xi Boo B, K4, -0.185, 2.4, 7.41
70 Oph B, K5, 0.138, 2.5, 8.71
GJ 338AB, M0, 0.305, 3.0,
EQ Peg A, M3.5, 0.450, 3.35, 16.12
EV Lac, M3.5, 0.474, 3.35, 13.92
EQ Peg B, M4.5, 0.417, 3.45, 14.67
AD Leo, M4.5, 0.536, 3.45, 18.25
Prox Cen, M5.5, 0.471, 3.55, 11.98
