angDist,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,_RAJ2000,_DEJ2000,recno,GaiaDR2,RA_ICRS,DE_ICRS,Distcore,Member,MS,Xraycat,SepX-ray,X-rayID,LX,Per,2RXSID,2RXPID,1RXHID,ChandraID,_RA.icrs,_DE.icrs
3.509329,336587521,50.12164635972,8.45445008190,15563,0649-00005-1,493-004943,03202921+0827161,,J032029.34+082716.0,11037726649058432,38348187,,STAR,tmgaia2,tmgaia2,226.324,0.072,6.178,0.066,gaia2,31.4749,0.0414,9.630,0.030,9.208220,0.000494,8.521,0.006,gbprp,gaia2,4493.0,131.1,4.5526,0.1020,,,0.739,0.062,0.710,0.083,31.7422,0.0420,,,0.0419,0.0421,50.12263151592,8.45447668195,50.1226315159194,8.4544766819479,2,11037726649058432,50.12263151592,8.45447668195,19.7763467241418,Tail,M,2RXS_UP,,,1.02938369337433,,,,,,50.12263151592,8.45447668195
3.490223,58955976,46.56258249444,12.09851024552,,,511-004904,03061500+1205548,,J030615.17+120554.5,27821118811895808,41398016,,STAR,tmgaia2,tmgaia2,225.115,0.155,-5.226,0.141,gaia2,29.6763,0.0946,16.390,0.200,14.601900,0.000907,13.164,0.008,cdwrf,cdwrf,3067.0,157.0,5.0162,0.0184,,,0.229,0.007,0.198,0.020,33.6647,0.1080,,,0.1076,0.1083,46.56357375683,12.09848774692,46.5635737568274,12.0984877469191,3,27821118811895808,46.56357375683,12.09848774692,19.4968755284858,Tail,M,2RXS_UP,,,1.46208811831399,,,,,,46.56357375683,12.09848774692
2.414738,381362062,47.68086799338,13.64322125627,,,519-005192,03104340+1338356,,J031043.51+133835.4,29720761371785216,42336288,,STAR,tmgaia2,tmgaia2,155.659,0.114,-6.377,0.094,gaia2,20.9761,0.0503,13.634,0.009,12.562900,0.000866,11.414,0.008,cdwrf,cdwrf,3511.0,157.0,4.7452,0.0079,,,0.491,0.015,0.489,0.020,47.6080,0.1148,,,,,47.68155765171,13.64319380039,47.6815576517094,13.6431938003935,4,29720761371785216,47.68155765171,13.64319380039,15.7589448663343,Core,M,2RXS_UP,,,4.6565657703644,,,,,,47.68155765171,13.64319380039
2.785210,58954576,46.41154897761,16.97611292230,,,,03053875+1658339,,J030538.90+165833.8,34762198279394048,,,STAR,tmgaia2,tmgaia2,179.122,0.219,-14.288,0.195,gaia2,23.9412,0.1429,19.020,0.200,16.494801,0.001260,14.939,0.008,cdwrf,cdwrf,2898.0,157.0,5.1673,0.0442,,,0.152,0.005,0.124,0.020,41.7212,0.2506,,,0.2491,0.2521,46.41235533301,16.97605140396,46.4123553330086,16.9760514039572,5,34762198279394048,46.41235533301,16.97605140396,16.1970244603953,Core,M,1RXH_UP,701.777156291232,990804-mpe_/rh800683n001,0.193276738826597,,,,,,46.41235533301,16.97605140396
3.181569,58957372,46.60919423336,17.22479690517,,,537-005433,03062619+1713292,,J030626.35+171329.0,34772746719056128,42872608,,STAR,tmgaia2,tmgaia2,204.106,0.151,-21.759,0.133,gaia2,27.7058,0.1176,15.477,0.077,13.996500,0.000582,12.655,0.008,cdwrf,cdwrf,3214.0,157.0,4.9495,0.0085,,,0.279,0.008,0.253,0.020,36.0570,0.1540,,,,,46.61011428723,17.22470322353,46.610114287232,17.2247032235328,6,34772746719056128,46.61011428723,17.22470322353,17.8429987052895,Core,M,1RXH,3.614154504125,1RXH J030625.9+171331,1.18742398171405,,,,1RXH J030626.3+171329,,46.61011428723,17.22470322353
3.181569,58957372,46.60919423336,17.22479690517,,,537-005433,03062619+1713292,,J030626.35+171329.0,34772746719056128,42872608,,STAR,tmgaia2,tmgaia2,204.106,0.151,-21.759,0.133,gaia2,27.7058,0.1176,15.477,0.077,13.996500,0.000582,12.655,0.008,cdwrf,cdwrf,3214.0,157.0,4.9495,0.0085,,,0.279,0.008,0.253,0.020,36.0570,0.1540,,,,,46.61011428723,17.22470322353,46.610114287232,17.2247032235328,7,34772746719056128,46.61011428723,17.22470322353,17.8429987052895,Core,M,1RXH,3.614154504125,1RXH J030625.9+171331,1.18742398171405,,,,1RXH J030625.9+171331,,46.61011428723,17.22470322353
2.741926,345454031,58.14306501962,11.26078757484,,,507-005711,03523432+1115389,1237671257438486587,J035234.45+111538.7,36629890579758592,41409585,,STAR,tmgaia2,tmgaia2,176.686,0.122,-8.667,0.091,gaia2,28.5984,0.0616,13.794,0.055,12.626200,0.000462,11.404,0.007,cdwrf,cdwrf,3393.0,157.0,4.8247,0.0036,,,0.402,0.012,0.394,0.020,34.9319,0.0758,,,,,58.14384068368,11.26075026068,58.1438406836838,11.2607502606755,8,36629890579758592,58.14384068368,11.26075026068,14.1677826620874,Core,M,2RXS_UP,,,1.57876550244932,,,,,,58.14384068368,11.26075026068
3.056023,434131573,55.63259734350,12.27291181039,,,512-005615,03423180+1216225,,J034231.96+121622.4,37414254686537344,41406559,,STAR,tmgaia2,tmgaia2,196.951,0.118,-9.135,0.090,gaia2,30.3075,0.0668,14.657,0.084,13.242000,0.000768,11.887,0.007,cdwrf,cdwrf,3208.0,157.0,4.8748,0.0005,,,0.349,0.010,0.333,0.020,32.9639,0.0730,,,,,55.63346515990,12.27287247913,55.6334651598992,12.2728724791314,9,37414254686537344,55.6334651599,12.27287247913,16.3329981320629,Core,M,2RXS,1.79344153037664,2RXS J034231.8+121621,5.62959831318808,,2RXS J034231.8+121621,,,,55.6334651599,12.27287247913
2.015295,242985065,59.55985262311,12.62802369878,,,514-006547,03581434+1237408,1237671257439338701,J035814.45+123740.8,38329666836450304,41411965,,STAR,tmgaia2,tmgaia2,129.435,0.261,-12.310,0.138,gaia2,21.9461,0.1025,16.630,0.200,15.111200,0.000499,13.687,0.007,cdwrf,cdwrf,3084.0,157.0,5.0037,0.0161,,,0.237,0.007,0.207,0.020,45.5078,0.2139,,,0.2129,0.2149,59.56042372775,12.62797069843,59.5604237277503,12.6279706984259,10,38329666836450304,59.56042372775,12.62797069843,7.09811284881744,Core,M,XMM,,,1.08347197730465,0.87,,,,,59.56042372775,12.62797069843
2.040204,242944633,58.75600544552,12.48558621409,18322,0662-00171-1,513-006508,03550142+1229081,,J035501.53+122907.9,38354680725946240,41410596,,STAR,tmgaia2,tmgaia2,131.228,0.081,-10.229,0.059,gaia2,21.7218,0.0408,10.120,0.030,9.766110,0.000355,9.116,0.006,gbprp,spect,4766.0,122.9,4.6329,0.0953,,,0.701,0.049,0.770,0.092,45.9756,0.0869,,,0.0867,0.0870,58.75658414086,12.48554217275,58.7565841408636,12.4855421727455,11,38354680725946240,58.75658414086,12.48554217275,7.65136244076302,Core,M,2RXS_UP,,,2.72397043889784,11.66,,,,,58.75658414086,12.48554217275
