Name|Cluster|Dist|f_Dist|r_Dist|log(Age)|Vmag|(B-V)0|log(Lx)|log(Lx/Lb)|_RA|_DE
Cl* Melotte 20 AP 211  |alpha Persei| 185.0| |a,b    | 7.90|15.07| 1.39|29.42|-3.05|053.54708|+49.84167
Cl* Melotte 20 AP 198  |alpha Persei| 185.0| |a,b    | 7.90|15.34| 1.39|29.13|-3.23|053.18750|+50.08889
Cl* Melotte 20 AP 138  |alpha Persei| 185.0| |a,b    | 7.90|14.56| 1.34|29.34|-3.27|050.49958|+48.39750
Cl* Melotte 20 AP 188  |alpha Persei| 185.0| |a,b    | 7.90|14.35| 1.29|29.55|-3.10|052.85125|+50.20861
Cl* Melotte 20 AP 101  |alpha Persei| 185.0| |a,b    | 7.90|13.89| 1.24|29.37|-3.42|050.34242|+49.95092
Cl* Melotte 20 AP 86   |alpha Persei| 185.0| |a,b    | 7.90|14.31| 1.22|29.30|-3.29|052.59542|+48.41194
Cl* Melotte 20 AP 15   |alpha Persei| 185.0| |a,b    | 7.90|14.12| 1.19|29.58|-3.08|051.10458|+48.80592
Cl* Melotte 20 AP 75   |alpha Persei| 185.0| |a,b    | 7.90|13.82| 1.17|29.43|-3.32|052.19762|+49.27444
Cl* Melotte 20 AP 114  |alpha Persei| 185.0| |a,b    | 7.90|13.40| 1.06|29.26|-3.55|051.83487|+47.99031
Cl* Melotte 20 AP 112  |alpha Persei| 185.0| |a,b    | 7.90|13.68| 1.05|29.57|-3.19|051.38250|+48.50250
Cl* Melotte 20 AP 201  |alpha Persei| 185.0| |a,b    | 7.90|13.08| 1.04|29.85|-3.14|053.21283|+49.84556
Cl* Melotte 20 AP 100  |alpha Persei| 185.0| |a,b    | 7.90|12.80| 1.03|29.72|-3.37|050.31542|+48.58500
Cl* Melotte 20 AP 200  |alpha Persei| 185.0| |a,b    | 7.90|12.65| 1.03|30.27|-2.89|053.21333|+50.11944
Cl* Melotte 20 AP 106  |alpha Persei| 185.0| |a,b    | 7.90|12.94| 1.01|29.52|-3.50|050.66958|+49.67833
Cl* Melotte 20 AP 65   |alpha Persei| 185.0| |a,b    | 7.90|13.52| 0.96|29.54|-3.41|052.00337|+49.00025
Cl* Melotte 20 AP 28   |alpha Persei| 185.0| |a,b    | 7.90|13.09| 0.95|29.80|-3.09|051.47479|+48.51917
Cl* Melotte 20 AP 78   |alpha Persei| 185.0| |a,b    | 7.90|13.06| 0.93|29.72|-3.20|052.36121|+49.34317
Cl* Melotte 20 AP 108  |alpha Persei| 185.0| |a,b    | 7.90|12.92| 0.93|29.80|-3.21|050.90262|+48.98150
Cl Melotte 20 750      |alpha Persei| 185.0| |a,b    | 7.90|13.00| 0.91|29.26|-3.21|051.90747|+48.99132
Cl* Melotte 20 AP 56   |alpha Persei| 185.0| |a,b    | 7.90|13.00| 0.90|29.72|-3.21|051.84833|+48.37222
Cl* Melotte 20 AP 197  |alpha Persei| 185.0| |a,b    | 7.90|12.31| 0.90|29.52|-3.70|052.61958|+47.64111
Cl* Melotte 20 AP 70   |alpha Persei| 185.0| |a,b    | 7.90|12.83| 0.88|29.68|-3.33|052.07783|+48.66339
Cl* Melotte 20 AP 199  |alpha Persei| 185.0| |a,b    | 7.90|12.10| 0.88|29.99|-3.30|053.18517|+47.69311
Cl* Melotte 20 AP 43   |alpha Persei| 185.0| |a,b    | 7.90|12.84| 0.87|29.99|-3.00|051.61667|+49.03667
Cl* Melotte 20 AP 72   |alpha Persei| 185.0| |a,b    | 7.90|12.78| 0.87|28.70|-4.30|052.09392|+49.24147
Cl* Melotte 20 AP 212  |alpha Persei| 185.0| |a,b    | 7.90|13.24| 0.87|29.45|-3.47|053.62208|+49.36306
Cl* Melotte 20 AP 37   |alpha Persei| 185.0| |a,b    | 7.90|12.61| 0.86|29.96|-3.11|051.56833|+48.84122
Cl* Melotte 20 AP 98   |alpha Persei| 185.0| |a,b    | 7.90|12.80| 0.86|29.11|-3.90|050.27712|+48.43686
Cl* Melotte 20 AP 117  |alpha Persei| 185.0| |a,b    | 7.90|13.05| 0.85|29.89|-3.00|052.20200|+49.19839
Cl* Melotte 20 AP 189  |alpha Persei| 185.0| |a,b    | 7.90|13.05| 0.84|30.02|-2.92|052.93700|+49.55103
Cl* Melotte 20 AP 93   |alpha Persei| 185.0| |a,b    | 7.90|11.99| 0.83|30.18|-3.13|049.76000|+48.18250
Cl* Melotte 20 AP 63   |alpha Persei| 185.0| |a,b    | 7.90|12.29| 0.82|29.81|-3.37|051.96262|+49.20278
Cl* Melotte 20 AP 110  |alpha Persei| 185.0| |a,b    | 7.90|12.27| 0.82|29.48|-3.76|051.22708|+49.43111
Cl* Melotte 20 AP 193  |alpha Persei| 185.0| |a,b    | 7.90|12.28| 0.79|30.30|-2.84|053.04208|+49.14194
Cl* Melotte 20 AP 25   |alpha Persei| 185.0| |a,b    | 7.90|12.25| 0.78|30.12|-3.07|051.31760|+48.37330
Cl* Melotte 20 AP 97   |alpha Persei| 185.0| |a,b    | 7.90|12.08| 0.77|29.52|-3.74|050.17292|+48.41000
Cl* Melotte 20 AP 158  |alpha Persei| 185.0| |a,b    | 7.90|11.93| 0.75|29.40|-3.96|051.64000|+50.23250
Cl* Melotte 20 AP 14   |alpha Persei| 185.0| |a,b    | 7.90|11.93| 0.74|29.62|-3.68|051.08300|+48.78883
Cl* Melotte 20 AP 149  |alpha Persei| 185.0| |a,b    | 7.90|11.71| 0.72|30.23|-3.14|051.20083|+48.88944
Cl* Melotte 20 AP 41   |alpha Persei| 185.0| |a,b    | 7.90|12.03| 0.71|29.45|-3.82|051.60554|+48.33525
Cl* Melotte 20 AP 118  |alpha Persei| 185.0| |a,b    | 7.90|12.06| 0.71|30.14|-3.11|053.12787|+49.17631
Cl* Melotte 20 AP 102  |alpha Persei| 185.0| |a,b    | 7.90|11.96| 0.70|29.68|-3.65|050.33292|+48.75750
