Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
Sun                    |           |           |        |     |     | 1.58|G2   |27.35|26.09| 1.00| 1.00| 1.00|5780| 0.69|-6.24
                       |00 08 06.43|+47 57 02.5|Field   |  8.3|12.40| 4.73|     |28.21| 4.38| 0.17| 0.18| 0.00|3201| 0.00|-2.98
HD 691                 |00 11 22.44|+30 26 58.5|Field   | 34.0| 7.95| 1.95|K0   |29.14| 6.05| 1.03| 0.94| 0.80|5460| 0.72|-4.29
GJ NN3030              |00 21 57.81|+49 12 38.0|Field   | 15.0|12.47| 4.27|     |28.25| 6.17| 0.24| 0.24| 0.01|3405| 0.00|-3.28
HD 1835                |00 22 51.79|-12 12 34.0|Field   | 20.0| 6.39| 1.54|G2   |29.15| 7.78| 1.10| 1.03| 1.11|5687| 0.76|-4.43
                       |00 28 53.92|+50 22 33.0|Field   |  9.0|12.82| 4.83|     |28.29| 1.09| 0.15| 0.17| 0.00|3163| 0.00|-2.83
                       |00 36 34.36|+55 37 36.0|Field   | 25.0|12.18| 3.84|     |28.61| 8.35| 0.39| 0.34| 0.02|3654| 0.09|-3.34
                       |00 38 00.02|+43 53 45.4|Field   | 35.0|13.07| 3.89|     |29.02| 0.55| 0.36| 0.33| 0.02|3619| 0.09|-2.88
HD 3651                |00 39 21.81|+21 15 01.7|Field   | 11.0| 5.88| 1.95|K0   |27.60|48.00| 0.96| 0.87| 0.57|5222| 0.72|-5.75
                       |00 39 25.83|+38 16 18.8|Field   | 71.0|13.37| 3.58|     |28.94| 3.08| 0.53| 0.45| 0.05|3847| 0.54|-3.36
V0523_Cas              |00 40 06.26|+50 14 15.5|Field   | 78.0|10.87| 2.38|     |29.73| 0.23| 0.85| 0.77| 0.33|4837| 0.70|-3.38
                       |00 41 03.04|+34 59 29.9|Field   |169.0|14.09| 3.22|     |30.00| 0.70| 0.69| 0.59| 0.12|4194| 0.65|-2.68
                       |00 41 41.41|+44 10 53.1|Field   | 13.0|14.25| 5.06|     |28.36| 0.67| 0.13| 0.15| 0.00|3078| 0.00|-2.60
GJ 29.1                |00 42 48.21|+35 32 55.4|Field   | 23.0|10.44| 4.12|     |29.75| 2.17| 0.69| 0.60| 0.13|4210| 0.65|-2.94
HD 4628                |00 48 22.98|+05 16 50.2|Field   |  7.5| 5.74| 2.73|K4   |26.94|38.50| 0.88| 0.79| 0.39|4954| 0.70|-6.11
                       |00 48 58.22|+44 35 09.1|Field   | 35.0|11.81| 3.57|     |29.47| 1.30| 0.53| 0.45| 0.05|3851| 0.54|-2.84
                       |00 52 38.22|+44 12 02.2|Field   | 35.0|14.29| 4.24|     |28.48| 0.87| 0.25| 0.24| 0.01|3422| 0.00|-3.07
                       |00 53 06.48|+48 29 38.5|Field   | 17.0|12.90| 4.32|     |28.36| 5.53| 0.23| 0.23| 0.01|3380| 0.00|-3.14
                       |01 03 40.14|+40 51 28.9|Field   | 30.0|10.93| 3.60|     |29.65| 0.25| 0.63| 0.53| 0.09|4036| 0.61|-2.89
